ano;sigla_uf;cnae_2;descricao_cnae;grupo;tratado;total_vinculos_ativos;massa_salarial;post;salario_medio
2019;AM;10961;Fabricação de alimentos e pratos prontos;sensibilidade;FALSE;3;3080,3100000000;FALSE;1,02677000000000e+03
2019;AM;10996;Fabricação de produtos alimentícios não especificados anteriormente;sensibilidade;FALSE;688;1585896,7899999986;FALSE;2,30508254360465e+03
2019;AM;13529;Fabricação de artefatos de tapeçaria;tratado_nucleo;TRUE;56;66372,9700000000;FALSE;1,18523160714286e+03
2019;AM;13545;Fabricação de tecidos especiais, inclusive artefatos;tratado_nucleo;TRUE;28;64606,9700000000;FALSE;2,30739178571429e+03
2019;AM;13596;Fabricação de outros produtos têxteis não especificados anteriormente;tratado_nucleo;TRUE;262;366593,5800000000;FALSE;1,39921213740458e+03
2019;AM;14118;Confecção de roupas íntimas;tratado_nucleo;TRUE;26;43178,1500000000;FALSE;1,66069807692308e+03
2019;AM;14126;Confecção de peças do vestuário, exceto roupas íntimas;tratado_nucleo;TRUE;262;315616,0599999998;FALSE;1,20464145038168e+03
2019;AM;14134;Confecção de roupas profissionais;tratado_nucleo;TRUE;468;481015,7800000002;FALSE;1,02781149572650e+03
2019;AM;14223;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;tratado_nucleo;TRUE;0;0,0000000000;FALSE;NA
2019;AM;15211;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;tratado_nucleo;TRUE;29;35282,3800000000;FALSE;1,21663379310345e+03
2019;AM;15319;Fabricação de calçados de couro;tratado_nucleo;TRUE;5;6361,5500000000;FALSE;1,27231000000000e+03
